ref_id,source,formulation_raw,salt_components,dosage_form,form_modifier,strength_raw,strength_mg,strength_kind,unit_basis,unit_qty,price_checkable,price_ex_gst,so_number,so_date,manufacturer,marketing_company,retrieved_on,status,quarantine_reason,unit_basis_raw,raw_row
CEIL-0552,ceiling,KETAMINE,"[""KETAMINE""]",injection,,INJECTION 50 MG,[50.0],mg,ml,1,true,12.41,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""552"", ""2022"", ""KETAMINE"", ""INJECTION 50 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 12.41(1 ML)""]"
CEIL-0553,ceiling,LABETALOL,"[""LABETALOL""]",tablet,,TABLET 100 MG,[100.0],mg,tablet,1,true,15.52,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""553"", ""2022"", ""LABETALOL"", ""TABLET 100 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 15.52(1 Tablet)""]"
CEIL-0554,ceiling,LABETALOL,"[""LABETALOL""]",injection,,INJECTION 5 MG,[5.0],mg,ml,1,true,51.18,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""554"", ""2022"", ""LABETALOL"", ""INJECTION 5 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 51.18(1 ML)""]"
CEIL-0555,ceiling,LACTULOSE,"[""LACTULOSE""]",oral liquid,,ORAL LIQUID 10 GM/ 15 ML,[10000.0],concentration,ml,1,true,1.26,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""555"", ""2022"", ""LACTULOSE"", ""ORAL LIQUID 10 GM/ 15 ML"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.26(1 ML)""]"
CEIL-0556,ceiling,LAMIVUDINE,"[""LAMIVUDINE""]",tablet,,TABLET 150 MG,[150.0],mg,tablet,1,true,11.12,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""556"", ""2022"", ""LAMIVUDINE"", ""TABLET 150 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 11.12(1 Tablet)""]"
CEIL-0557,ceiling,LAMIVUDINE,"[""LAMIVUDINE""]",tablet,,TABLET 100 MG,[100.0],mg,tablet,1,true,11.33,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet)( Pack,"["""", ""557"", ""2022"", ""LAMIVUDINE"", ""TABLET 100 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 11.33(1 Tablet)( Pack)""]"
CEIL-0558,ceiling,LAMIVUDINE + ZIDOVUDINE,"[""LAMIVUDINE"", ""ZIDOVUDINE""]",tablet,,TABLET 150/300 MG,[300.0],mg,tablet,1,true,21.60,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""558"", ""2022"", ""LAMIVUDINE + ZIDOVUDINE"", ""TABLET 150/300 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 21.60(1 Tablet)""]"
CEIL-0559,ceiling,L-ASPARAGINASE,"[""L-ASPARAGINASE""]",powder for injection,,POWDER FOR INJECTION 5000 KU,[],none,vial,1,true,1059.72,1575(E),25-Mar-2026,,,2026-09-18,usable,,Each Vial,"["""", ""559"", ""2022"", ""L-ASPARAGINASE"", ""POWDER FOR INJECTION 5000 KU"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1059.72(Each Vial)""]"
CEIL-0560,ceiling,L-ASPARAGINASE,"[""L-ASPARAGINASE""]",powder for injection,,POWDER FOR INJECTION 10000 KU,[],none,vial,1,true,1748.75,1575(E),25-Mar-2026,,,2026-09-18,usable,,Each Vial,"["""", ""560"", ""2022"", ""L-ASPARAGINASE"", ""POWDER FOR INJECTION 10000 KU"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1748.75(Each Vial)""]"
CEIL-0561,ceiling,LATANOPROST,"[""LATANOPROST""]",drops,,EAR DROPS 0.005 %,[],percent,ml,1,true,238.17,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""561"", ""2022"", ""LATANOPROST"", ""EAR DROPS 0.005 %"", ""1575(E)"", ""25-Mar-2026"", ""₹ 238.17(1 ML)""]"
